timestamp,scenario,iteration,run_kind,spawn_backend_process_ms,wait_for_server_ready_ms,post_compute_ms,decode_response_json_ms,server_samples_ms,server_events_ms,server_serialize_ms,payload_bytes,payload_gzip_bytes,dt_sec,duration_sec,planet_count
2025-12-04T06:08:11.095257+00:00,baseline_10_planets,0,cold,0.2638279984239489,516.0691209894139,157.7815560158342,4.562999005429447,120.223730977159,8.542389987269416,6.5628500015009195,224833,92665,0.05,20.0,10
2025-12-04T06:08:11.095257+00:00,baseline_10_planets,1,warm,0.0,0.0,149.17428398621269,3.8063160027377307,114.8566780029796,8.15216900082305,6.236909975996241,224834,92668,0.05,20.0,10
2025-12-04T06:08:11.095257+00:00,baseline_10_planets,2,warm,0.0,0.0,150.5913180008065,3.93080897629261,115.14922700007446,8.549741003662348,6.473087007179856,224836,92666,0.05,20.0,10
2025-12-04T06:08:11.095257+00:00,baseline_10_planets,3,warm,0.0,0.0,148.67473900085315,3.7803449959028512,114.54092900385149,8.332983998116106,6.2966620025690645,224836,92668,0.05,20.0,10
2025-12-04T06:08:11.095257+00:00,baseline_10_planets,4,warm,0.0,0.0,149.697990011191,3.8039759965613484,115.34665399813093,8.180778997484595,6.398994999472052,224836,92666,0.05,20.0,10
2025-12-04T06:08:11.095257+00:00,baseline_10_planets,5,warm,0.0,0.0,150.9302079793997,3.9226789958775043,116.49929900886491,8.242681011324748,6.425946019589901,224836,92668,0.05,20.0,10
2025-12-04T06:08:11.095257+00:00,dense_18_planets,0,warm,0.0,0.0,641.1646820197348,21.680350007954985,463.23275097529404,49.015833996236324,32.776798005215824,1085424,461904,0.05,60.0,18
2025-12-04T06:08:11.095257+00:00,dense_18_planets,1,warm,0.0,0.0,626.1436629865784,24.729594006203115,444.03314602095634,53.736486996058375,32.55813199211843,1085424,461900,0.05,60.0,18
2025-12-04T06:08:11.095257+00:00,dense_18_planets,2,warm,0.0,0.0,606.1756749986671,19.278318010037765,437.4370149744209,50.16375900595449,30.08128600777127,1085421,461905,0.05,60.0,18
2025-12-04T06:08:11.095257+00:00,dense_18_planets,3,warm,0.0,0.0,624.1648830182385,23.318260005908087,414.44316497654654,62.797713006148115,37.469561008038,1085423,461903,0.05,60.0,18
2025-12-04T06:08:11.095257+00:00,dense_18_planets,4,warm,0.0,0.0,619.9835760053247,18.950908008264378,450.0840110122226,46.4481049857568,29.9207910138648,1085421,461903,0.05,60.0,18
2025-12-04T06:08:11.095257+00:00,dense_18_planets,5,warm,0.0,0.0,582.6921600091737,20.934647996909916,416.9681710191071,46.883848001016304,30.902030994184315,1085422,461903,0.05,60.0,18
